customer_id,month,data_gb,voice_min,intl_min,sms_count,revenue_inr,failed_payment_count,days_active
SUB100862,2026-07,8.31,436,1,11,192.21,0,28
SUB100710,2026-05,22.21,97,1,6,479.63,0,26
SUB100794,2026-06,8.2,122,4,13,142.76,0,28
SUB100295,2026-05,8.44,113,4,10,353.11,0,28
SUB100493,2026-02,6.14,145,1,24,264.71,0,27
SUB102741,2026-04,30.19,158,1,7,350.51,1,26
SUB102899,2026-07,5.64,76,2,19,220.61,0,29
SUB101519,2026-02,11.31,492,3,6,351.38,0,29
SUB101005,2026-05,7.69,84,3,4,292.37,0,30
SUB102240,2026-05,0.38,56,1,8,140.08,0,26
SUB101285,2026-02,5.44,292,2,8,313.37,0,30
SUB102971,2026-03,4.47,238,0,14,196.62,0,28
SUB100503,2026-04,11.19,764,0,9,275.1,0,28
SUB101039,2026-07,13.92,124,0,8,331.05,0,27
SUB101367,2026-06,3.75,272,3,5,243.82,0,29
SUB102586,2026-04,5.06,168,2,13,163.82,0,30
SUB100825,2026-06,7.81,441,1,4,166.48,0,26
SUB102121,2026-05,28.64,191,1,13,482.98,0,30
SUB103057,2026-06,10.42,495,2,10,246.87,0,28
SUB101985,2026-04,6.35,130,2,8,240.52,0,29
SUB102641,2026-04,1.76,60,1,11,140.15,0,28
SUB100975,2026-06,2.34,502,0,12,176.95,0,28
SUB101650,2026-03,7.57,60,6,13,335.8,0,30
SUB102997,2026-04,1.96,58,2,15,160.22,1,28
SUB102803,2026-07,1.28,117,3,13,310.92,0,30
SUB100117,2026-05,1.08,311,1,10,202.18,0,30
SUB101889,2026-06,4.77,67,1,10,285.43,0,26
SUB102948,2026-07,9.67,16,3,8,230.1,0,27
SUB102277,2026-07,8.95,41,1,14,311.47,1,30
SUB102050,2026-04,9.78,589,5,14,452.2,1,29
SUB100964,2026-03,2.02,628,4,8,169.98,0,29
SUB101983,2026-07,14.52,100,3,16,258.47,0,28
SUB102241,2026-06,1.76,665,2,5,164.41,0,29
SUB101377,2026-03,1.77,41,4,7,157.42,1,26
SUB100186,2026-04,24.21,232,5,13,506.37,0,26
SUB101589,2026-03,18.29,293,0,18,268.39,0,30
SUB102828,2026-05,7.76,533,3,18,342.97,0,30
SUB102771,2026-05,9.85,644,0,20,454.73,0,30
SUB102969,2026-03,19.59,251,4,9,416.82,0,28
SUB102795,2026-02,9.66,128,3,10,401.09,0,28
SUB101801,2026-04,5.99,201,0,8,291.73,0,28
SUB101169,2026-02,49.22,125,1,11,499.42,0,28
SUB100229,2026-06,4.0,37,2,17,186.29,0,26
SUB102298,2026-03,4.54,103,0,8,165.19,0,30
SUB102967,2026-03,8.88,306,4,6,299.92,0,27
SUB102446,2026-02,16.79,155,0,10,368.52,1,29
SUB100786,2026-04,4.41,85,0,7,252.22,0,26
SUB100577,2026-05,1.33,27,2,20,182.05,0,28
SUB102685,2026-07,5.89,303,2,17,152.05,0,30
SUB102976,2026-03,4.62,343,0,9,222.65,0,28
SUB101916,2026-02,11.48,208,4,11,191.19,0,29
SUB102059,2026-02,10.11,99,2,11,320.58,0,27
SUB102490,2026-02,17.35,363,0,13,216.71,0,26
SUB100643,2026-04,10.61,512,1,9,196.37,0,28
SUB100206,2026-04,6.7,128,1,8,267.21,0,26
SUB101151,2026-07,9.23,139,4,14,295.41,0,27
SUB103074,2026-02,7.91,306,3,8,183.75,0,29
SUB100442,2026-03,12.69,446,3,12,332.18,0,27
SUB102964,2026-03,17.8,149,0,13,422.61,0,29
SUB101873,2026-07,7.17,136,1,3,172.23,0,29
SUB102958,2026-02,10.81,154,1,17,377.42,0,27
SUB103006,2026-03,3.96,43,4,12,87.38,0,26
SUB102958,2026-06,13.95,167,2,15,326.49,0,28
SUB101205,2026-06,11.77,247,7,16,201.01,0,30
SUB100727,2026-06,9.52,481,1,9,261.07,0,29
SUB103061,2026-07,0.92,171,2,9,134.9,0,26
SUB103131,2026-05,9.92,79,1,7,241.08,0,30
SUB101777,2026-05,18.46,272,1,20,338.38,0,26
SUB102880,2026-05,6.21,55,1,13,453.97,1,29
SUB102234,2026-07,7.32,313,5,14,223.87,0,27
SUB102420,2026-06,16.14,280,2,10,254.91,0,30
SUB100279,2026-02,2.17,194,2,1,220.7,0,26
SUB101051,2026-06,1.4,140,6,13,153.18,0,27
SUB100715,2026-03,6.11,62,4,8,364.38,0,30
SUB100579,2026-05,9.15,311,3,18,308.33,0,26
SUB100010,2026-05,1.26,65,1,16,231.64,0,29
SUB101929,2026-05,6.28,121,0,14,240.77,0,28
SUB102286,2026-05,9.35,51,1,2,253.34,0,26
SUB102601,2026-05,17.48,447,3,11,462.42,0,27
SUB102919,2026-06,2.1,67,0,9,251.41,0,29
SUB102610,2026-07,4.14,315,3,17,274.22,1,30
SUB101368,2026-02,13.61,147,1,4,319.67,0,27
SUB100293,2026-07,4.98,69,2,12,228.64,0,28
SUB103154,2026-03,0.64,23,1,7,241.69,0,29
SUB100779,2026-05,6.24,190,2,6,124.44,0,29
SUB102543,2026-05,15.54,378,2,11,520.88,0,27
SUB100985,2026-03,13.03,193,0,10,237.6,0,29
SUB103092,2026-03,2.27,111,2,8,115.72,0,29
SUB101815,2026-03,7.64,339,1,13,311.56,0,27
SUB100423,2026-05,9.08,148,2,11,292.86,0,28
SUB102114,2026-05,18.94,82,1,16,484.67,0,30
SUB101058,2026-06,1.24,517,0,19,300.56,0,28
SUB100387,2026-03,10.9,392,1,9,226.98,0,29
SUB100122,2026-05,19.17,205,1,5,324.45,0,28
SUB101628,2026-02,16.37,407,1,7,303.67,0,30
SUB100273,2026-03,3.06,140,2,13,210.41,0,30
SUB102554,2026-04,11.17,159,1,17,185.17,0,29
SUB100477,2026-02,12.14,36,1,10,310.8,0,27
SUB101886,2026-05,17.48,307,1,6,372.79,0,26
SUB102911,2026-06,11.27,73,3,11,187.3,0,27
SUB100195,2026-07,12.73,428,1,9,383.26,0,27
SUB100602,2026-04,10.36,319,2,14,295.4,0,27
SUB100409,2026-07,7.79,427,0,8,361.23,0,26
SUB100340,2026-06,1.15,576,1,8,278.63,0,27
SUB101867,2026-04,4.02,220,1,15,174.73,0,29
SUB100768,2026-05,15.5,132,1,9,344.15,0,26
SUB102844,2026-07,1.65,316,6,11,107.05,0,28
SUB100736,2026-04,4.75,52,1,11,203.59,0,30
SUB100039,2026-03,21.14,1075,1,8,421.18,1,30
SUB103170,2026-07,0.67,155,2,20,214.17,0,29
SUB100502,2026-07,1.43,14,4,4,106.39,0,27
SUB102465,2026-02,2.75,190,0,17,222.61,0,29
SUB101319,2026-02,7.55,527,2,8,315.91,0,29
SUB101554,2026-02,7.26,74,5,9,145.17,0,29
SUB100494,2026-03,9.72,649,1,16,315.32,0,26
SUB101689,2026-06,14.69,242,2,11,326.76,0,26
SUB101654,2026-03,24.85,287,1,24,462.81,0,30
SUB100289,2026-07,13.25,402,6,10,318.38,0,26
SUB101855,2026-06,2.88,118,3,7,278.64,0,26
SUB101868,2026-05,5.63,136,1,11,262.88,0,28
SUB100274,2026-05,1.94,289,3,10,233.46,1,30
SUB101236,2026-05,9.34,75,2,12,229.78,0,28
SUB101845,2026-03,2.82,255,1,20,243.81,0,28
SUB101252,2026-05,5.93,169,0,10,250.14,0,26
SUB101709,2026-02,10.89,145,2,11,280.0,0,30
SUB100960,2026-04,5.63,355,3,9,258.88,0,29
SUB102913,2026-06,11.98,817,3,7,309.42,0,28
SUB101853,2026-02,6.23,119,0,14,227.53,0,29
SUB101026,2026-05,0.68,190,2,7,72.29,1,28
SUB103119,2026-05,20.34,221,3,10,536.59,0,28
SUB101105,2026-04,6.35,259,2,9,123.58,0,27
SUB101234,2026-06,2.34,482,0,13,100.14,0,29
SUB102897,2026-02,15.45,334,4,8,292.89,0,30
SUB102231,2026-05,10.34,403,1,9,264.15,0,29
SUB100306,2026-05,13.57,200,1,18,333.86,0,28
SUB101287,2026-03,7.24,213,1,2,319.63,0,26
SUB101669,2026-02,2.51,171,2,9,137.75,0,30
SUB101164,2026-03,1.2,156,5,7,111.61,0,26
SUB101197,2026-05,2.84,229,3,15,270.0,0,30
SUB101317,2026-02,7.2,93,1,5,,0,28
SUB102768,2026-07,5.65,136,3,6,226.4,0,29
SUB102573,2026-02,7.11,58,3,10,218.34,0,30
SUB101806,2026-04,7.18,55,3,8,220.22,0,30
SUB101482,2026-05,4.21,336,5,13,171.05,0,28
SUB100054,2026-06,9.21,251,2,3,400.45,0,30
SUB102125,2026-03,1.05,95,1,21,137.33,1,30
SUB101539,2026-06,2.58,346,2,7,78.05,0,29
SUB100395,2026-07,16.51,107,1,15,231.15,0,29
SUB101606,2026-06,9.88,33,2,13,287.52,0,29
SUB102001,2026-04,8.46,162,2,4,316.31,0,29
SUB102245,2026-07,14.48,317,6,9,206.1,0,29
SUB103033,2026-04,11.05,133,1,5,333.55,0,29
SUB101332,2026-02,2.18,177,3,5,155.86,0,26
SUB102872,2026-07,10.5,203,1,8,285.02,0,29
SUB102525,2026-07,4.58,742,2,15,166.07,0,29
SUB102510,2026-07,12.4,263,1,6,267.8,0,30
SUB101308,2026-06,14.78,90,0,9,252.56,0,27
SUB102970,2026-04,12.11,356,1,15,293.75,0,29
SUB100369,2026-06,18.05,404,0,8,251.54,0,27
SUB101270,2026-05,9.29,675,0,7,399.41,0,30
SUB101042,2026-07,1.93,189,1,12,127.82,0,29
SUB102865,2026-06,5.17,151,1,20,174.16,0,27
SUB100607,2026-05,0.64,234,1,20,99.72,0,28
SUB100267,2026-07,8.21,79,3,6,331.0,0,30
SUB102834,2026-02,15.53,351,5,11,,0,26
SUB100624,2026-04,10.34,171,3,9,168.89,0,29
SUB100895,2026-06,2.27,215,1,8,188.31,0,29
SUB100782,2026-06,3.2,102,0,19,299.03,0,26
SUB102853,2026-05,15.29,639,1,16,382.34,0,29
SUB102108,2026-03,11.33,175,0,18,239.15,0,29
SUB100694,2026-03,21.05,204,1,5,396.29,0,26
SUB103063,2026-06,9.21,128,4,18,284.11,0,30
SUB102913,2026-05,11.75,450,2,5,296.01,0,27
SUB102619,2026-03,17.48,320,1,11,221.19,0,28
SUB100192,2026-07,1.35,132,3,9,116.48,0,28
SUB100159,2026-05,4.32,111,0,7,166.15,0,29
SUB102741,2026-07,30.23,194,4,4,428.73,0,27
SUB101117,2026-03,5.1,206,0,6,332.26,0,27
SUB103141,2026-02,10.96,257,0,8,321.51,0,29
SUB100815,2026-03,14.8,380,1,10,434.92,0,30
SUB101967,2026-02,7.66,77,1,8,323.49,0,26
SUB101166,2026-07,1.7,168,4,9,180.48,0,27
SUB102206,2026-02,11.73,22,0,12,320.79,0,27
SUB102965,2026-04,10.3,111,1,11,167.5,0,30
SUB101436,2026-05,4.33,340,1,5,257.18,0,28
SUB101728,2026-05,20.92,76,3,12,311.69,0,28
SUB100423,2026-04,9.03,208,5,12,255.34,0,28
SUB100179,2026-03,30.16,331,4,16,370.12,0,27
SUB100744,2026-03,9.36,126,2,13,227.49,0,30
SUB101890,2026-03,8.55,235,2,11,244.7,2,30
SUB100085,2026-04,5.17,202,1,19,177.02,0,27
SUB101454,2026-03,9.86,112,2,16,224.4,0,28
SUB100394,2026-03,16.82,296,4,15,353.91,0,27
SUB102200,2026-03,9.25,224,3,5,186.63,0,28
SUB102116,2026-06,4.55,193,1,14,155.41,0,29
SUB102393,2026-02,2.62,58,0,9,84.44,0,29
SUB102974,2026-02,17.51,207,2,10,398.38,0,28
SUB101684,2026-06,3.9,36,1,13,286.12,0,29
SUB101118,2026-03,9.66,167,3,7,285.16,0,26
SUB102767,2026-05,0.68,132,1,10,198.74,0,27
SUB102099,2026-03,1.76,54,0,12,193.27,0,28
SUB102843,2026-06,8.97,809,1,23,514.42,0,26
SUB100120,2026-04,8.74,40,1,14,173.02,0,29
SUB100368,2026-06,3.23,313,2,13,249.71,0,30
SUB103062,2026-06,3.7,57,1,10,190.21,0,30
SUB102814,2026-07,21.41,125,3,15,437.26,0,30
SUB101731,2026-02,11.24,374,2,10,464.97,0,28
SUB101889,2026-04,3.87,59,3,8,326.65,0,28
SUB101840,2026-07,5.48,209,3,4,337.83,0,30
SUB102605,2026-06,16.11,448,3,12,407.43,0,29
SUB101876,2026-05,6.33,295,5,11,249.55,0,27
SUB102603,2026-05,9.02,180,1,12,368.36,0,30
SUB102656,2026-07,9.52,128,3,12,195.11,1,27
SUB101511,2026-07,16.16,152,1,7,248.88,0,28
SUB101486,2026-03,9.23,96,3,8,176.41,0,29
SUB100912,2026-07,12.84,212,0,7,318.34,0,29
SUB102318,2026-06,7.31,397,1,8,433.48,0,27
SUB103036,2026-06,2.64,282,3,16,101.32,0,30
SUB101615,2026-07,2.74,316,3,16,216.69,0,27
SUB102006,2026-04,2.75,609,3,15,143.03,0,30
SUB100315,2026-05,13.05,292,3,10,391.62,0,28
SUB102648,2026-06,3.03,167,0,20,167.79,0,27
SUB103149,2026-06,6.69,266,1,15,204.33,0,29
SUB102747,2026-07,17.05,281,1,24,533.72,0,26
SUB102349,2026-05,3.31,375,0,10,148.5,0,26
SUB101318,2026-07,7.71,214,5,8,325.5,0,29
SUB101346,2026-04,7.94,82,1,16,219.08,0,27
SUB100455,2026-04,16.71,203,5,24,193.86,0,26
SUB100497,2026-04,5.97,73,2,14,135.66,0,26
SUB101146,2026-07,4.28,714,2,6,196.55,0,26
SUB101586,2026-02,1.5,166,3,14,160.63,0,27
SUB101536,2026-02,19.45,133,0,12,604.08,0,26
SUB100407,2026-02,9.39,145,0,20,206.3,0,26
SUB101914,2026-03,5.94,232,3,17,176.47,0,28
SUB102099,2026-07,2.01,49,3,13,170.66,0,28
SUB102194,2026-03,21.13,67,2,8,538.16,0,27
SUB100768,2026-04,12.91,78,0,12,380.03,0,28
SUB101558,2026-07,7.46,189,2,7,230.21,2,26
SUB103091,2026-02,21.09,224,1,8,356.46,0,29
SUB100904,2026-02,13.24,258,0,17,355.16,0,28
SUB100753,2026-03,16.57,222,3,5,284.85,0,26
SUB102623,2026-04,1.98,30,2,8,207.98,0,28
SUB102890,2026-03,1.98,204,0,12,128.71,0,28
SUB101301,2026-03,5.11,160,4,9,355.25,0,29
SUB101695,2026-02,1.8,123,1,7,104.12,0,28
SUB100650,2026-03,18.25,87,0,4,415.38,0,30
SUB100982,2026-07,5.67,328,0,6,258.59,0,26
SUB101177,2026-02,4.75,1006,0,14,366.42,0,29
SUB101290,2026-06,0.99,87,0,11,115.85,0,28
SUB101429,2026-04,6.84,241,0,11,205.73,0,26
SUB101994,2026-04,13.38,193,5,10,270.59,0,27
SUB102413,2026-03,7.65,334,3,5,301.86,2,26
SUB101928,2026-07,2.33,108,2,7,245.93,0,26
SUB102433,2026-07,2.74,424,2,1,220.22,0,27
SUB102751,2026-04,7.42,76,1,7,176.36,0,26
SUB101777,2026-07,16.94,502,2,17,342.66,1,27
SUB100511,2026-05,3.5,67,0,11,234.58,1,28
SUB102345,2026-04,8.71,56,1,11,383.89,0,27
SUB100821,2026-02,5.59,150,1,15,168.51,0,26
SUB103048,2026-02,2.05,156,1,8,160.98,0,28
SUB102684,2026-07,23.38,288,2,24,389.68,0,30
SUB100917,2026-07,4.1,270,2,9,187.46,1,29
SUB101194,2026-03,26.69,169,0,10,466.95,0,28
SUB101506,2026-07,8.51,48,3,15,174.55,0,27
SUB101859,2026-03,43.53,114,1,8,608.25,0,29
SUB102793,2026-05,4.8,269,2,5,169.15,1,27
SUB100578,2026-04,16.23,218,2,14,369.62,0,30
SUB100165,2026-07,11.03,48,2,12,393.34,0,29
SUB100527,2026-03,8.51,30,4,7,215.2,0,26
SUB103177,2026-03,1.58,230,1,27,194.48,0,30
SUB101827,2026-05,2.16,512,0,15,151.4,0,26
SUB102569,2026-04,1.5,119,2,7,258.15,0,28
SUB100049,2026-03,6.76,281,2,13,225.02,0,29
SUB102042,2026-02,19.14,68,3,17,374.48,0,30
SUB102963,2026-05,8.11,481,3,25,175.7,0,27
SUB100080,2026-07,3.02,357,2,12,212.7,0,27
SUB101483,2026-05,5.66,284,3,10,322.51,2,26
SUB100699,2026-05,1.96,149,2,13,194.05,0,28
SUB100035,2026-04,6.57,89,4,8,154.0,0,26
SUB102041,2026-05,8.09,65,3,13,133.01,0,30
SUB101751,2026-03,4.46,118,6,8,383.92,0,27
SUB101224,2026-02,1.71,52,4,11,240.34,0,28
SUB101087,2026-02,23.94,338,2,10,499.59,0,28
SUB102641,2026-07,1.7,73,2,18,148.0,1,30
SUB101040,2026-03,14.5,261,0,10,375.08,1,26
SUB101527,2026-03,6.91,290,2,11,191.63,0,28
SUB102714,2026-07,1.35,340,2,19,193.71,1,30
SUB100412,2026-06,29.51,17,2,17,565.82,0,28
SUB102119,2026-03,9.14,359,0,9,335.34,0,29
SUB100426,2026-03,2.86,111,1,11,118.94,0,26
SUB101659,2026-06,9.34,218,2,8,236.95,0,27
SUB102526,2026-02,10.48,180,2,10,369.66,0,29
SUB102667,2026-06,2.51,179,3,11,259.29,0,30
SUB101278,2026-03,6.64,31,1,6,192.97,0,30
SUB101762,2026-06,12.86,206,2,17,389.39,0,28
SUB100930,2026-03,0.6,225,0,17,117.67,0,28
SUB101443,2026-05,7.62,210,0,14,369.06,0,26
SUB102000,2026-05,3.57,151,3,4,166.28,0,30
SUB101342,2026-03,18.74,516,0,25,507.63,0,29
SUB103097,2026-04,5.92,141,0,11,285.02,0,30
SUB103088,2026-04,10.05,194,0,20,158.99,0,29
SUB102130,2026-03,2.33,694,1,13,114.47,1,29
SUB101204,2026-03,9.9,205,2,8,200.76,2,27
SUB102543,2026-07,26.4,247,1,7,546.14,0,29
SUB102619,2026-07,59.3,185,1,14,0.0,3,30
SUB101437,2026-03,12.59,353,2,10,393.59,0,30
SUB101667,2026-05,6.82,252,2,8,364.5,0,30
SUB100192,2026-03,2.05,74,1,8,122.83,0,26
SUB100182,2026-02,23.04,361,2,7,528.37,0,29
SUB100451,2026-02,4.82,201,3,10,170.39,0,26
SUB100177,2026-03,6.08,126,3,11,207.85,0,30
SUB102757,2026-06,7.72,261,1,7,278.73,0,28
SUB101276,2026-02,2.94,32,4,13,306.92,0,26
SUB100494,2026-04,8.3,515,2,16,253.64,0,27
SUB102389,2026-02,14.03,321,1,13,386.65,0,27
SUB100267,2026-04,5.06,65,1,6,383.87,0,28
SUB102479,2026-02,7.14,26,2,7,290.97,0,27
SUB101211,2026-04,7.77,143,4,24,275.03,0,26
SUB100146,2026-05,7.6,83,1,22,366.69,0,27
SUB100236,2026-03,1.59,202,4,11,73.6,0,30
SUB102638,2026-06,7.15,117,4,12,319.31,0,28
SUB101326,2026-06,6.27,70,4,12,278.76,0,29
SUB101648,2026-06,2.52,176,0,13,208.42,0,27
SUB102314,2026-06,9.68,456,1,11,334.21,0,26
SUB102952,2026-02,12.22,57,2,22,556.79,0,27
SUB100017,2026-05,5.83,45,0,15,96.3,0,26
SUB102142,2026-06,10.13,115,1,13,271.07,0,27
SUB102869,2026-05,21.87,52,0,7,330.1,0,28
SUB102740,2026-03,8.57,301,1,15,349.94,1,30
SUB100805,2026-02,6.13,219,5,15,272.4,1,30
SUB100519,2026-02,5.13,255,1,13,125.0,0,26
SUB102072,2026-03,34.21,72,4,8,345.81,0,26
SUB100479,2026-06,1.24,65,2,11,179.83,0,27
SUB100834,2026-06,1.59,242,6,12,129.48,0,28
SUB102632,2026-04,4.75,131,2,16,187.86,0,26
SUB102383,2026-02,3.06,98,4,14,143.04,1,29
SUB100925,2026-04,2.97,143,3,13,250.13,0,26
SUB101746,2026-04,20.47,321,4,11,252.29,0,27
SUB100079,2026-02,14.11,215,3,11,296.51,0,29
SUB102954,2026-03,10.99,78,4,11,378.28,0,28
SUB102421,2026-05,16.33,177,1,13,252.3,0,28
SUB100849,2026-04,0.73,211,3,16,114.23,0,30
SUB100055,2026-05,9.49,312,0,11,313.03,0,30
SUB102308,2026-05,5.26,149,1,9,209.31,0,29
SUB103002,2026-07,17.02,66,1,13,384.63,0,26
SUB101386,2026-06,35.1,99,0,9,439.89,0,30
SUB100507,2026-07,4.2,176,1,16,384.93,0,26
SUB101677,2026-07,7.61,194,0,7,171.62,0,26
SUB100746,2026-05,3.99,108,4,7,157.32,0,27
SUB100467,2026-04,6.79,249,1,14,232.83,0,28
SUB102538,2026-06,4.1,82,2,11,273.29,0,28
SUB101198,2026-07,1.18,251,0,7,241.29,0,29
SUB101124,2026-04,12.22,334,4,13,304.07,0,30
SUB102206,2026-05,10.55,24,1,14,261.25,0,28
SUB103194,2026-06,12.92,285,3,8,279.16,1,26
SUB100114,2026-07,5.87,82,4,9,214.95,0,30
SUB101778,2026-07,12.85,539,3,14,150.34,0,26
SUB102083,2026-05,5.61,138,6,15,210.59,0,29
SUB102775,2026-02,12.86,173,1,8,267.06,0,30
SUB102326,2026-07,0.99,823,0,2,194.65,0,28
SUB100285,2026-02,6.64,196,2,12,162.27,0,30
SUB100894,2026-07,21.22,336,3,14,459.78,0,30
SUB100127,2026-06,26.2,370,5,8,322.87,0,30
SUB102431,2026-06,0.9,589,1,6,164.95,0,26
SUB100592,2026-06,3.23,158,1,10,438.6,0,27
SUB101470,2026-07,8.44,81,1,13,278.25,0,30
SUB101610,2026-05,2.28,185,4,5,143.9,0,28
SUB102696,2026-06,6.81,116,0,20,274.35,0,30
SUB103189,2026-05,0.55,378,2,3,124.15,0,30
SUB101684,2026-03,3.58,80,0,10,289.39,0,29
SUB101216,2026-06,32.95,662,0,18,569.45,0,28
SUB101387,2026-07,5.35,42,2,9,123.23,1,29
SUB102695,2026-05,5.52,254,0,7,363.02,0,29
SUB101479,2026-03,2.26,87,2,9,68.59,0,28
SUB102640,2026-06,7.34,64,2,4,182.37,0,27
SUB101648,2026-02,2.36,174,3,9,181.47,0,26
SUB100250,2026-07,6.04,177,3,23,248.84,0,28
SUB100670,2026-02,16.23,205,0,13,483.76,0,27
SUB101993,2026-03,21.39,402,0,6,401.48,0,26
SUB102676,2026-04,5.03,384,1,15,224.08,0,27
SUB101132,2026-04,14.54,427,2,11,250.61,0,29
SUB100866,2026-07,12.69,220,3,8,267.48,0,29
SUB101410,2026-05,14.35,155,0,18,195.76,0,26
SUB101125,2026-05,4.94,44,2,8,218.07,0,26
SUB102182,2026-06,17.34,457,0,11,251.24,0,29
SUB101831,2026-02,0.88,328,2,6,122.72,0,28
SUB101495,2026-03,10.5,143,3,13,194.76,0,29
SUB101936,2026-06,33.61,157,2,6,436.06,0,27
SUB100700,2026-06,13.74,121,1,16,321.79,1,26
SUB101130,2026-03,22.89,145,1,5,409.62,0,30
SUB101921,2026-02,0.94,591,0,7,138.13,0,28
SUB100770,2026-03,1.47,151,4,6,88.63,1,29
SUB101192,2026-02,0.84,125,2,20,105.01,0,27
SUB101434,2026-03,0.39,54,4625,13,229.96,0,30
SUB100359,2026-03,1.42,201,0,12,103.57,0,26
SUB101038,2026-05,8.26,384,3,10,241.25,0,27
SUB100569,2026-02,4.2,269,2,9,144.31,0,30
SUB100528,2026-07,10.69,212,2,10,308.3,0,30
SUB103095,2026-07,5.86,195,3,7,172.53,1,30
SUB100046,2026-07,7.68,89,1,4,236.02,0,28
SUB102697,2026-03,0.65,121,1,6,237.96,0,29
SUB102902,2026-02,12.92,267,2,14,363.58,0,27
SUB102669,2026-05,13.3,527,2,7,283.9,0,29
SUB102556,2026-02,8.76,104,4,5,237.06,0,28
SUB101696,2026-07,17.77,117,0,7,293.15,0,26
SUB100579,2026-07,17.39,578,1,3,338.63,0,29
SUB100815,2026-07,19.62,326,2,13,445.95,0,28
SUB100251,2026-07,12.81,126,2,5,315.15,0,26
SUB102972,2026-05,20.61,101,0,12,412.03,0,29
SUB100531,2026-02,14.67,463,3,17,489.88,0,26
SUB100167,2026-07,1.91,392,2,8,172.73,0,29
SUB102252,2026-03,14.37,614,1,18,290.84,0,30
SUB100591,2026-07,9.25,137,3,7,234.08,0,28
SUB100281,2026-02,7.31,180,1,18,310.12,0,27
SUB101904,2026-07,7.17,255,0,6,319.12,1,30
SUB103145,2026-04,6.13,209,3,15,280.92,0,29
SUB101038,2026-07,9.74,330,1,8,274.03,0,30
SUB100645,2026-03,11.89,210,4,6,365.69,0,28
SUB101799,2026-04,28.11,534,3,6,545.45,0,30
SUB102611,2026-06,1.56,221,4,16,310.4,1,28
SUB101421,2026-05,5.03,156,2,15,255.77,0,29
SUB100372,2026-05,11.26,422,1,6,443.85,0,29
SUB101139,2026-03,5.11,40,0,14,204.45,0,27
SUB103116,2026-04,1.49,178,4,1,87.22,0,28
SUB100716,2026-03,5.81,95,6,17,271.33,0,30
SUB101881,2026-06,7.22,203,2,21,110.44,0,26
SUB100569,2026-03,10.12,294,5,10,133.63,0,28
SUB100142,2026-04,1.02,31,1,13,210.82,0,29
SUB100112,2026-06,15.47,533,2,15,261.59,0,30
SUB100312,2026-03,0.64,272,1,2,127.87,0,29
SUB100665,2026-03,13.47,568,1,9,215.86,0,30
SUB100424,2026-07,22.24,138,2,15,273.26,1,30
SUB102436,2026-07,4.36,34,1,21,155.31,1,27
SUB102727,2026-04,5.58,181,1,11,331.88,1,28
SUB100421,2026-03,8.24,124,0,8,271.34,0,30
