reading_ts,cell_id,region,latency_ms,throughput_mbps,downtime_min,drop_call_rate_pct,active_users
2026-08-04 05:30:00,CELL-CHE-02,Chennai,30.01,169.25,0,0.539,246
2026-08-02 19:30:00,CELL-BLR-02,Bengaluru,38.43,165.45,0,0.845,559
2026-08-03 16:30:00,CELL-DEL-03,Delhi,30.97,149.29,0,0.641,376
2026-08-03 22:30:00,CELL-HYD-02,Hyderabad,37.29,187.1,0,0.621,470
2026-08-04 18:45:00,CELL-DEL-03,Delhi,40.85,125.76,0,0.867,627
2026-08-03 11:15:00,CELL-MUM-02,Mumbai,62.1,179.82,0,0.635,400
2026-08-02 12:15:00,CELL-BLR-01,Bengaluru,43.29,178.29,0,0.814,369
2026-08-02 23:00:00,CELL-CHE-02,Chennai,36.77,128.12,0,0.609,248
2026-08-05 15:45:00,CELL-KOL-02,Kolkata,26.39,198.48,0,0.621,138
2026-08-02 13:30:00,CELL-MUM-02,Mumbai,40.96,135.1,0,0.67,346
2026-08-03 14:00:00,CELL-DEL-01,Delhi,32.23,259.53,0,0.461,257
2026-08-04 21:15:00,CELL-CHE-03,Chennai,49.0,200.27,0,1.011,657
2026-08-05 01:30:00,CELL-MUM-01,Mumbai,29.5,247.24,0,0.364,241
2026-08-01 12:15:00,CELL-BLR-01,Bengaluru,50.81,185.93,0,0.604,285
2026-08-05 09:00:00,CELL-KOL-02,Kolkata,33.38,134.47,0,0.853,272
2026-08-04 17:45:00,CELL-HYD-01,Hyderabad,39.84,140.37,0,0.902,171
2026-08-02 11:15:00,CELL-KOL-03,Kolkata,34.29,174.91,0,1.127,404
2026-08-04 14:45:00,CELL-HYD-01,Hyderabad,29.06,174.27,0,0.478,438
2026-08-01 01:45:00,CELL-KOL-01,Kolkata,48.69,195.42,0,0.581,302
2026-08-05 19:00:00,CELL-DEL-03,Delhi,44.36,135.87,0,0.402,236
2026-08-01 03:45:00,CELL-HYD-02,Hyderabad,37.01,185.05,0,0.888,371
2026-08-01 12:30:00,CELL-BLR-02,Bengaluru,33.56,232.42,0,0.851,534
2026-08-01 10:45:00,CELL-DEL-02,Delhi,50.54,211.99,0,0.785,509
2026-08-05 09:30:00,CELL-DEL-01,Delhi,36.74,244.74,0,0.262,439
2026-08-03 01:00:00,CELL-MUM-02,Mumbai,48.32,182.63,0,0.582,357
2026-08-01 20:15:00,CELL-BLR-03,Bengaluru,48.8,156.67,0,1.08,491
2026-08-05 17:15:00,CELL-BLR-03,Bengaluru,52.52,154.92,0,0.603,261
2026-08-03 17:30:00,CELL-CHE-01,Chennai,43.05,143.91,0,0.936,262
2026-08-05 02:00:00,CELL-HYD-03,Hyderabad,27.49,149.55,0,0.761,292
2026-08-03 22:15:00,CELL-CHE-03,Chennai,46.31,194.86,0,0.844,520
2026-08-03 06:45:00,CELL-DEL-01,Delhi,26.4,262.4,0,0.704,291
2026-08-04 19:30:00,CELL-DEL-01,Delhi,43.96,166.64,0,1.047,505
2026-08-05 14:30:00,CELL-DEL-03,Delhi,31.69,146.65,0,0.636,262
2026-08-01 21:00:00,CELL-HYD-03,Hyderabad,45.46,107.51,0,1.048,472
2026-08-05 16:45:00,CELL-DEL-02,Delhi,54.91,213.96,0,0.534,313
2026-08-05 11:15:00,CELL-DEL-03,Delhi,33.37,176.61,0,0.835,633
2026-08-03 01:00:00,CELL-CHE-02,Chennai,28.81,175.26,0,0.916,155
2026-08-01 00:00:00,CELL-KOL-01,Kolkata,38.01,193.76,0,1.017,374
2026-08-04 21:15:00,CELL-HYD-01,Hyderabad,45.26,129.24,0,1.175,419
2026-08-04 01:30:00,CELL-HYD-02,Hyderabad,37.46,182.07,0,0.69,343
2026-08-03 12:30:00,CELL-MUM-03,Mumbai,56.34,111.48,0,0.542,342
2026-08-05 14:45:00,CELL-HYD-01,Hyderabad,39.48,154.13,0,0.77,314
2026-08-04 05:30:00,CELL-KOL-03,Kolkata,34.94,233.63,0,0.774,398
2026-08-05 21:15:00,CELL-MUM-03,Mumbai,52.3,116.5,0,0.564,293
2026-08-01 18:30:00,CELL-KOL-02,Kolkata,39.72,134.03,0,0.946,333
2026-08-05 13:00:00,CELL-BLR-01,Bengaluru,38.47,151.81,0,0.626,424
2026-08-02 21:00:00,CELL-CHE-01,Chennai,44.21,130.14,0,0.827,295
2026-08-01 06:00:00,CELL-DEL-03,Delhi,28.68,205.33,0,0.002,346
2026-08-02 22:15:00,CELL-MUM-03,Mumbai,59.2,105.83,0,0.043,422
2026-08-02 19:30:00,CELL-MUM-03,Mumbai,58.74,123.57,0,0.837,504
2026-08-03 11:15:00,CELL-HYD-03,Hyderabad,36.5,134.58,0,0.347,317
2026-08-05 17:45:00,CELL-MUM-02,Mumbai,54.15,163.78,0,0.754,252
2026-08-04 17:30:00,CELL-MUM-02,Mumbai,55.3,150.74,0,0.364,535
2026-08-03 11:00:00,CELL-CHE-02,Chennai,36.69,153.39,0,0.228,453
2026-08-03 01:45:00,CELL-HYD-02,Hyderabad,35.14,202.43,0,0.48,353
2026-08-04 17:15:00,CELL-MUM-03,Mumbai,51.07,109.38,0,0.502,547
2026-08-04 06:15:00,CELL-KOL-03,Kolkata,31.78,233.53,0,0.282,171
2026-08-01 12:00:00,CELL-DEL-01,Delhi,34.83,177.96,0,0.716,376
2026-08-04 23:30:00,CELL-KOL-03,Kolkata,29.28,213.63,0,0.793,248
2026-08-03 05:15:00,CELL-BLR-01,Bengaluru,37.6,162.03,0,0.406,257
2026-08-05 03:30:00,CELL-CHE-03,Chennai,36.59,251.8,0,0.694,357
2026-08-03 03:45:00,CELL-HYD-02,Hyderabad,36.63,190.28,0,0.392,351
2026-08-05 06:30:00,CELL-KOL-01,Kolkata,46.13,178.38,0,0.678,251
2026-08-05 14:15:00,CELL-DEL-03,Delhi,31.97,145.9,0,0.523,550
2026-08-02 20:30:00,CELL-MUM-02,Mumbai,64.78,114.22,0,1.086,325
2026-08-05 13:00:00,CELL-DEL-01,Delhi,32.81,211.89,0,0.35,318
2026-08-03 15:45:00,CELL-BLR-03,Bengaluru,44.27,174.12,0,0.346,427
2026-08-04 08:15:00,CELL-DEL-02,Delhi,40.98,256.6,0,0.425,245
2026-08-04 20:00:00,CELL-DEL-01,Delhi,36.69,167.25,0,1.024,537
2026-08-05 20:15:00,CELL-KOL-02,Kolkata,43.19,112.85,0,1.038,545
2026-08-01 08:45:00,CELL-MUM-01,Mumbai,26.61,241.14,0,0.608,379
2026-08-01 01:15:00,CELL-BLR-03,Bengaluru,48.3,205.15,0,0.648,296
2026-08-03 07:00:00,CELL-DEL-02,Delhi,38.86,240.98,0,0.383,272
2026-08-01 08:00:00,CELL-BLR-02,Bengaluru,23.43,223.49,0,0.461,573
2026-08-03 19:00:00,CELL-BLR-02,Bengaluru,39.38,197.94,0,0.713,481
2026-08-01 23:30:00,CELL-HYD-03,Hyderabad,39.29,141.85,0,0.603,226
2026-08-01 21:45:00,CELL-MUM-02,Mumbai,54.85,151.54,0,1.097,313
2026-08-04 17:15:00,CELL-DEL-01,Delhi,36.46,181.07,0,0.921,453
2026-08-05 01:00:00,CELL-KOL-02,Kolkata,29.88,149.4,0,0.623,131
2026-08-03 11:45:00,CELL-DEL-01,Delhi,40.49,200.92,0,0.62,240
2026-08-04 20:30:00,CELL-CHE-01,Chennai,40.79,109.92,0,1.055,232
2026-08-05 06:30:00,CELL-DEL-02,Delhi,39.72,218.67,0,0.502,455
2026-08-02 07:15:00,CELL-CHE-03,Chennai,35.24,236.91,0,0.779,377
2026-08-02 09:45:00,CELL-BLR-03,Bengaluru,44.2,171.53,0,0.459,356
2026-08-01 17:45:00,CELL-KOL-01,Kolkata,55.35,149.66,0,0.382,386
2026-08-01 11:00:00,CELL-HYD-02,Hyderabad,40.19,179.48,0,0.894,546
2026-08-02 03:15:00,CELL-KOL-01,Kolkata,48.01,213.73,0,0.629,318
2026-08-05 06:45:00,CELL-HYD-01,Hyderabad,34.61,157.39,0,0.21,271
2026-08-01 10:15:00,CELL-MUM-01,Mumbai,33.53,204.61,0,0.239,346
2026-08-05 19:30:00,CELL-KOL-02,Kolkata,35.9,125.1,0,0.619,330
2026-08-04 05:15:00,CELL-MUM-03,Mumbai,45.54,149.03,0,0.824,201
2026-08-05 15:15:00,CELL-HYD-02,Hyderabad,33.72,222.3,0,0.66,537
2026-08-05 16:00:00,CELL-CHE-01,Chennai,33.83,172.38,0,0.761,506
2026-08-05 12:45:00,CELL-KOL-01,Kolkata,52.19,191.73,0,1.172,647
2026-08-05 10:45:00,CELL-CHE-03,Chennai,39.88,228.67,0,0.863,395
2026-08-02 03:00:00,CELL-KOL-02,Kolkata,24.93,166.72,0,0.57,214
2026-08-05 07:00:00,CELL-DEL-03,Delhi,33.33,186.76,0,0.597,489
2026-08-05 22:30:00,CELL-KOL-01,Kolkata,50.61,174.38,0,0.608,309
2026-08-04 10:00:00,CELL-HYD-03,Hyderabad,31.14,129.79,0,0.493,320
2026-08-03 07:45:00,CELL-KOL-01,Kolkata,53.36,192.61,0,0.6,380
2026-08-03 04:15:00,CELL-HYD-03,Hyderabad,32.35,156.07,0,0.658,340
2026-08-05 19:45:00,CELL-BLR-01,Bengaluru,45.33,129.72,0,0.745,445
2026-08-04 19:45:00,CELL-KOL-02,Kolkata,44.39,126.68,0,1.288,363
2026-08-02 21:45:00,CELL-BLR-03,Bengaluru,55.96,140.31,0,0.856,313
2026-08-03 16:30:00,CELL-BLR-03,Bengaluru,35.43,179.21,0,0.695,188
2026-08-02 05:15:00,CELL-MUM-03,Mumbai,43.76,155.97,0,0.684,245
2026-08-05 21:30:00,CELL-DEL-03,Delhi,38.05,158.75,0,0.919,389
2026-08-05 03:45:00,CELL-HYD-02,Hyderabad,31.78,189.21,0,0.718,292
2026-08-05 19:15:00,CELL-HYD-02,Hyderabad,51.81,134.77,0,0.269,631
2026-08-01 20:15:00,CELL-BLR-02,Bengaluru,45.3,164.29,0,0.683,642
2026-08-02 03:15:00,CELL-KOL-03,Kolkata,28.45,249.0,0,0.365,293
2026-08-02 22:15:00,CELL-BLR-03,Bengaluru,53.75,189.65,0,0.138,569
2026-08-01 12:15:00,CELL-HYD-01,Hyderabad,42.1,141.19,0,0.653,403
2026-08-02 14:30:00,CELL-DEL-01,Delhi,35.07,208.17,0,0.585,326
2026-08-05 02:45:00,CELL-MUM-03,Mumbai,35.07,160.36,0,0.338,453
2026-08-02 04:15:00,CELL-CHE-02,Chennai,30.03,149.01,0,0.336,283
2026-08-05 20:00:00,CELL-BLR-03,Bengaluru,65.27,132.77,0,0.472,240
2026-08-03 13:30:00,CELL-CHE-01,Chennai,38.75,166.15,0,0.805,598
2026-08-03 19:00:00,CELL-BLR-01,Bengaluru,53.29,152.95,0,0.912,592
2026-08-05 05:30:00,CELL-MUM-02,Mumbai,39.62,192.98,0,0.481,381
2026-08-01 16:30:00,CELL-HYD-03,Hyderabad,34.43,119.37,0,0.095,262
2026-08-01 21:00:00,CELL-BLR-02,Bengaluru,32.65,178.41,0,1.492,598
2026-08-02 20:00:00,CELL-BLR-02,Bengaluru,37.01,213.48,0,0.568,604
2026-08-01 11:15:00,CELL-MUM-01,Mumbai,29.78,188.22,0,0.645,272
2026-08-03 14:30:00,CELL-KOL-01,Kolkata,51.34,182.62,0,0.619,305
2026-08-05 03:00:00,CELL-KOL-02,Kolkata,24.96,196.46,0,1.177,338
2026-08-04 12:30:00,CELL-MUM-03,Mumbai,49.17,111.28,0,0.792,285
2026-08-01 16:45:00,CELL-DEL-01,Delhi,27.37,229.11,0,0.325,172
2026-08-05 21:15:00,CELL-CHE-03,Chennai,48.45,195.19,0,0.83,273
2026-08-05 21:15:00,CELL-BLR-03,Bengaluru,52.25,151.04,0,0.81,293
2026-08-05 08:15:00,CELL-BLR-02,Bengaluru,26.95,251.81,0,0.961,395
2026-08-01 14:00:00,CELL-HYD-03,Hyderabad,32.75,102.6,0,0.73,325
2026-08-05 05:00:00,CELL-HYD-03,Hyderabad,24.51,138.42,0,0.404,396
2026-08-01 08:00:00,CELL-DEL-02,Delhi,36.48,270.42,0,0.492,341
2026-08-04 07:00:00,CELL-HYD-02,Hyderabad,,172.13,0,0.661,401
2026-08-02 13:15:00,CELL-DEL-02,Delhi,45.97,187.68,0,0.765,274
2026-08-03 21:30:00,CELL-DEL-03,Delhi,116.37,135.56,0,2.248,380
2026-08-03 00:45:00,CELL-BLR-01,Bengaluru,38.72,210.44,0,1.054,510
2026-08-01 21:45:00,CELL-CHE-02,Chennai,36.38,137.94,0,1.325,614
2026-08-01 16:00:00,CELL-HYD-03,Hyderabad,34.99,138.95,0,0.504,218
2026-08-01 09:45:00,CELL-CHE-02,Chennai,32.4,158.06,0,0.767,406
2026-08-04 05:45:00,CELL-DEL-03,Delhi,24.28,208.64,0,0.642,386
2026-08-01 19:15:00,CELL-DEL-01,Delhi,40.91,172.07,0,0.806,428
2026-08-02 00:45:00,CELL-CHE-02,Chennai,27.77,140.02,0,0.703,183
2026-08-05 16:45:00,CELL-HYD-01,Hyderabad,34.29,151.89,0,0.892,434
2026-08-05 17:15:00,CELL-CHE-01,Chennai,31.78,152.55,0,0.844,574
2026-08-04 09:30:00,CELL-BLR-03,Bengaluru,46.22,200.08,0,0.303,456
2026-08-01 03:30:00,CELL-BLR-03,Bengaluru,34.11,189.61,0,0.578,319
2026-08-04 15:00:00,CELL-CHE-01,Chennai,37.99,129.12,0,0.62,228
2026-08-04 02:30:00,CELL-BLR-02,Bengaluru,,0.0,15,0.373,258
2026-08-05 20:15:00,CELL-MUM-03,Mumbai,64.22,104.82,0,0.39,364
2026-08-03 22:00:00,CELL-CHE-03,Chennai,49.17,197.86,0,0.422,354
2026-08-01 13:30:00,CELL-KOL-02,Kolkata,36.33,169.71,0,0.408,409
2026-08-05 04:30:00,CELL-DEL-01,Delhi,30.2,250.67,0,0.845,325
2026-08-02 08:30:00,CELL-CHE-03,Chennai,41.21,237.07,0,0.464,528
2026-08-04 13:45:00,CELL-MUM-01,Mumbai,34.05,211.76,0,0.544,290
2026-08-02 18:15:00,CELL-DEL-03,Delhi,41.8,140.73,0,1.006,530
2026-08-03 14:45:00,CELL-MUM-02,Mumbai,50.59,211.99,0,0.404,422
2026-08-05 23:45:00,CELL-HYD-01,Hyderabad,36.61,174.16,0,0.736,438
2026-08-03 14:00:00,CELL-KOL-01,Kolkata,51.82,180.89,0,0.543,297
2026-08-01 15:00:00,CELL-MUM-01,Mumbai,31.73,175.78,0,0.622,378
2026-08-04 11:30:00,CELL-KOL-03,Kolkata,35.72,182.51,0,0.817,201
2026-08-04 14:45:00,CELL-DEL-02,Delhi,45.07,203.64,0,0.499,366
2026-08-04 01:15:00,CELL-MUM-03,Mumbai,43.46,151.81,0,0.606,311
2026-08-05 08:30:00,CELL-CHE-02,Chennai,30.92,132.49,0,0.85,240
2026-08-01 00:45:00,CELL-BLR-02,Bengaluru,31.48,276.43,0,0.852,354
2026-08-04 06:15:00,CELL-DEL-02,Delhi,,274.59,0,0.761,217
2026-08-04 00:45:00,CELL-CHE-01,Chennai,31.03,172.08,0,0.552,356
2026-08-05 04:00:00,CELL-BLR-03,Bengaluru,42.11,203.77,0,0.625,79
2026-08-02 12:15:00,CELL-HYD-03,Hyderabad,32.43,119.27,0,0.576,411
2026-08-01 01:45:00,CELL-MUM-03,Mumbai,44.01,144.43,0,0.389,390
2026-08-01 07:15:00,CELL-HYD-01,Hyderabad,30.57,165.93,0,0.707,267
2026-08-01 01:15:00,CELL-MUM-02,Mumbai,46.82,192.12,0,0.34,415
2026-08-04 00:45:00,CELL-BLR-01,Bengaluru,38.02,178.92,0,0.483,412
2026-08-04 19:30:00,CELL-HYD-02,Hyderabad,60.42,135.41,0,0.434,593
2026-08-05 00:30:00,CELL-CHE-02,Chennai,22.1,137.33,0,0.409,193
2026-08-01 00:15:00,CELL-BLR-01,Bengaluru,30.19,180.57,0,0.712,348
2026-08-05 21:15:00,CELL-KOL-01,Kolkata,55.56,172.67,0,1.309,657
2026-08-03 13:15:00,CELL-DEL-01,Delhi,38.22,253.84,0,0.462,289
2026-08-04 11:00:00,CELL-KOL-01,Kolkata,60.88,155.14,0,0.681,238
2026-08-03 03:30:00,CELL-BLR-01,Bengaluru,32.34,166.17,0,0.708,319
2026-08-02 12:30:00,CELL-HYD-02,Hyderabad,40.96,156.2,0,1.075,319
2026-08-01 13:45:00,CELL-CHE-03,Chennai,41.15,232.8,0,0.563,489
2026-08-04 10:30:00,CELL-DEL-01,Delhi,30.57,182.05,0,0.468,106
2026-08-04 07:45:00,CELL-MUM-01,Mumbai,30.55,202.41,0,0.562,336
2026-08-05 13:30:00,CELL-DEL-03,Delhi,31.22,162.38,0,0.566,446
2026-08-05 01:15:00,CELL-HYD-02,Hyderabad,38.06,210.52,0,1.007,260
2026-08-02 00:15:00,CELL-KOL-01,Kolkata,39.7,219.12,0,0.962,401
2026-08-05 02:15:00,CELL-KOL-03,Kolkata,38.91,223.03,0,0.512,223
2026-08-01 10:15:00,CELL-MUM-02,Mumbai,52.9,152.28,0,0.417,169
2026-08-04 14:30:00,CELL-KOL-02,Kolkata,31.03,160.66,0,0.632,426
2026-08-02 00:00:00,CELL-HYD-01,Hyderabad,32.37,191.62,0,0.507,356
2026-08-04 01:00:00,CELL-BLR-02,Bengaluru,31.62,257.13,0,0.653,88
2026-08-04 00:45:00,CELL-KOL-02,Kolkata,29.29,154.98,0,0.472,316
2026-08-05 19:00:00,CELL-CHE-03,Chennai,42.51,188.09,0,0.599,378
2026-08-02 17:30:00,CELL-KOL-01,Kolkata,56.58,162.33,0,1.03,430
2026-08-05 18:45:00,CELL-CHE-03,Chennai,57.62,165.36,0,0.98,435
2026-08-02 16:30:00,CELL-BLR-03,Bengaluru,51.11,181.38,0,0.329,331
2026-08-02 16:45:00,CELL-HYD-03,Hyderabad,31.29,128.02,0,0.648,402
2026-08-01 12:15:00,CELL-MUM-02,Mumbai,57.88,156.85,0,0.3,505
2026-08-02 03:30:00,CELL-KOL-02,Kolkata,25.24,183.99,0,0.244,174
2026-08-03 05:00:00,CELL-MUM-03,Mumbai,37.32,180.72,0,0.474,248
2026-08-04 01:00:00,CELL-CHE-03,Chennai,26.39,247.33,0,0.754,226
2026-08-02 19:45:00,CELL-HYD-01,Hyderabad,47.63,119.71,0,0.614,502
2026-08-01 03:30:00,CELL-HYD-01,Hyderabad,31.11,165.72,0,0.527,485
2026-08-02 22:45:00,CELL-CHE-01,Chennai,36.05,125.15,0,1.096,239
2026-08-05 21:15:00,CELL-MUM-01,Mumbai,46.69,145.73,0,1.044,504
2026-08-02 01:45:00,CELL-BLR-01,Bengaluru,39.39,190.66,0,0.459,268
2026-08-02 22:30:00,CELL-CHE-02,Chennai,37.48,139.41,0,0.882,136
2026-08-02 05:30:00,CELL-KOL-03,Kolkata,32.0,240.68,0,0.496,214
2026-08-05 22:15:00,CELL-HYD-02,Hyderabad,44.64,175.46,0,0.993,381
2026-08-04 10:00:00,CELL-MUM-03,Mumbai,44.33,135.94,0,0.803,409
2026-08-05 17:15:00,CELL-HYD-02,Hyderabad,50.83,177.4,0,0.824,199
2026-08-02 16:15:00,CELL-MUM-03,Mumbai,48.1,141.3,0,0.631,377
2026-08-02 17:45:00,CELL-KOL-01,Kolkata,55.56,149.17,0,0.595,278
2026-08-01 18:45:00,CELL-DEL-02,Delhi,56.3,174.57,0,0.751,414
2026-08-03 15:00:00,CELL-MUM-01,Mumbai,29.89,181.69,0,0.713,348
2026-08-03 13:15:00,CELL-CHE-01,Chennai,42.18,160.09,0,0.501,394
2026-08-04 02:30:00,CELL-HYD-02,Hyderabad,35.28,208.76,0,0.482,349
2026-08-05 19:15:00,CELL-BLR-01,Bengaluru,59.26,146.12,0,0.76,374
2026-08-04 01:45:00,CELL-BLR-03,Bengaluru,37.41,193.15,0,0.668,238
2026-08-01 02:00:00,CELL-CHE-01,Chennai,27.17,149.03,0,0.681,381
2026-08-04 01:30:00,CELL-BLR-02,Bengaluru,24.93,232.4,0,0.854,319
2026-08-01 20:30:00,CELL-CHE-01,Chennai,41.77,141.42,0,0.882,244
2026-08-01 18:30:00,CELL-CHE-02,Chennai,34.7,122.09,0,0.068,395
2026-08-01 20:00:00,CELL-MUM-02,Mumbai,58.95,132.48,0,0.847,284
2026-08-01 06:45:00,CELL-MUM-02,Mumbai,38.74,214.2,0,0.454,271
2026-08-05 22:00:00,CELL-KOL-03,Kolkata,41.75,169.8,0,0.98,385
2026-08-01 18:45:00,CELL-BLR-01,Bengaluru,50.29,149.38,0,1.075,555
2026-08-04 23:45:00,CELL-MUM-01,Mumbai,22.63,176.46,0,0.471,492
2026-08-02 11:00:00,CELL-HYD-02,Hyderabad,35.41,173.06,0,0.774,536
2026-08-04 20:45:00,CELL-KOL-03,Kolkata,38.13,191.37,0,0.72,405
2026-08-03 09:45:00,CELL-HYD-03,Hyderabad,33.74,141.74,0,0.376,302
2026-08-01 05:30:00,CELL-CHE-03,Chennai,34.26,232.54,0,0.174,331
2026-08-01 16:00:00,CELL-KOL-03,Kolkata,34.12,214.74,0,0.814,301
2026-08-05 14:45:00,CELL-DEL-01,Delhi,28.11,242.8,0,0.692,390
2026-08-05 07:00:00,CELL-HYD-01,Hyderabad,30.94,158.22,0,0.899,248
2026-08-05 18:15:00,CELL-CHE-03,Chennai,46.79,193.34,0,1.246,658
2026-08-05 05:15:00,CELL-DEL-01,Delhi,25.53,216.9,0,0.439,508
2026-08-04 10:45:00,CELL-DEL-03,Delhi,33.96,163.14,0,0.754,547
2026-08-04 21:45:00,CELL-DEL-03,Delhi,35.98,121.21,0,1.043,318
2026-08-05 21:45:00,CELL-BLR-02,Bengaluru,36.27,214.16,0,0.474,475
