customer_id,region,plan_type,contract_type,tenure_months,age,device_type,autopay_flag,intl_pack_flag,avg_monthly_gb,avg_voice_min,avg_sms,monthly_charges,total_charges,complaints_6m,avg_resolution_hours,dropped_call_rate,avg_data_speed_mbps,days_since_last_recharge,retention_call_flag,arpu,churn
TEL-10016,South,Prepaid,Monthly,12,39.0,Smartphone-Budget,0,0,4.4,110,10,179.6,2540.13,0,0.0,4.34,17.9,23,0,217.55,1
TEL-10017,South,Postpaid,Two-Year,10,37.0,Smartphone-Budget,1,0,3.9,192,8,269.5,2649.93,1,4.9,3.52,18.7,11,1,257.82,1
TEL-10018,North,Prepaid,Monthly,4,28.0,Smartphone-Budget,1,0,3.3,135,12,149.04,624.83,0,0.0,4.97,11.7,5,0,159.7,0
TEL-10019,Central,Prepaid,Monthly,5,25.0,Smartphone-Premium,0,0,28.0,208,7,397.82,1948.77,1,28.8,5.38,10.5,18,0,409.27,0
TEL-10020,North,Postpaid,Two-Year,13,36.0,Smartphone-Budget,0,0,1.9,172,7,258.34,4121.77,1,17.0,1.09,28.7,7,0,317.65,0
TEL-10021,North,Prepaid,Monthly,23,24.0,Smartphone-Premium,0,0,28.9,199,2,318.51,7119.66,0,0.0,3.87,35.6,12,0,327.47,0
TEL-10022,South,Postpaid,Monthly,5,22.0,Smartphone-Budget,1,0,4.2,219,8,326.59,1524.72,0,0.0,5.05,27.3,7,0,319.15,0
TEL-10023,South,Prepaid,Monthly,3,35.0,Smartphone-Budget,0,0,6.0,101,8,209.68,581.71,0,0.0,5.8,23.4,10,1,196.56,1
TEL-10024,West,Prepaid,Monthly,5,35.0,Smartphone-Premium,0,0,3.9,180,7,154.4,631.94,1,24.1,1.85,28.8,14,1,129.79,1
TEL-10025,West,Postpaid,Two-Year,58,64.0,Feature,0,0,3.0,573,27,274.65,17570.37,2,16.1,3.24,28.8,5,0,304.85,0
TEL-10026,East,Prepaid,Monthly,32,47.0,Smartphone-Budget,0,0,2.4,425,39,125.24,6225.9,0,0.0,0.73,32.3,1,0,186.44,0
TEL-10027,West,Postpaid,Annual,21,18.0,Smartphone-Premium,0,0,38.1,243,6,577.05,13447.16,1,39.1,0.93,24.1,38,0,614.7,0
TEL-10028,West,Postpaid,Annual,68,50.0,Smartphone-Budget,0,0,17.0,314,16,390.09,27371.1,0,0.0,4.05,30.7,16,0,385.77,0
TEL-10029,South,Postpaid,Monthly,15,42.0,Smartphone-Premium,0,0,14.4,237,14,366.89,6702.36,1,18.3,6.74,28.8,6,0,411.88,0
TEL-10030,East,Postpaid,Annual,13,37.0,Smartphone-Budget,1,0,4.1,118,12,249.63,3204.94,1,55.1,1.55,,3,0,243.43,0
TEL-10031,East,Postpaid,Two-Year,13,22.0,Smartphone-Premium,1,0,30.6,161,6,513.29,6384.42,0,0.0,1.23,20.0,9,0,485.81,0
TEL-10032,West,Postpaid,Annual,10,34.0,Smartphone-Budget,1,0,5.2,200,8,239.57,2551.91,0,0.0,1.19,10.9,12,0,243.64,0
TEL-10033,South,Prepaid,Monthly,57,58.0,Smartphone-Budget,0,0,22.5,324,15,288.24,19786.54,0,0.0,1.74,28.7,4,0,339.54,0
TEL-10034,West,Postpaid,Annual,72,57.0,Smartphone-Budget,1,0,2.4,666,35,314.61,21443.66,3,58.8,7.45,38.4,12,0,303.4,0
TEL-10035,West,Prepaid,Monthly,12,29.0,Smartphone-Budget,0,0,3.8,123,5,94.45,1571.72,1,73.7,6.85,38.6,6,1,128.65,1
TEL-10036,South,Prepaid,Monthly,45,29.0,Smartphone-Budget,0,0,7.8,321,17,236.99,13007.47,2,35.5,2.45,35.9,14,0,290.33,0
TEL-10037,East,Prepaid,Monthly,11,33.0,Smartphone-Budget,1,0,2.2,216,9,158.11,1289.47,0,0.0,0.22,31.0,23,0,116.52,0
TEL-10038,East,Postpaid,Annual,3,30.0,Smartphone-Budget,1,0,5.1,171,10,255.73,897.34,1,36.7,4.09,31.7,5,0,290.05,0
TEL-10039,West,Prepaid,Monthly,20,20.0,Smartphone-Budget,1,0,6.6,87,10,166.77,3961.95,0,0.0,2.64,9.3,11,0,206.79,0
TEL-10040,South,Postpaid,Two-Year,17,31.0,Smartphone-Budget,1,0,4.1,228,5,313.61,5999.74,0,0.0,0.47,25.6,11,0,363.43,0
TEL-10041,South,Postpaid,Two-Year,7,30.0,Smartphone-Premium,1,0,2.5,159,9,250.89,2390.19,0,0.0,1.34,18.4,7,0,339.95,0
TEL-10042,West,Postpaid,Monthly,4,37.0,Smartphone-Budget,1,0,4.7,166,9,313.45,1253.1,1,13.6,1.76,12.0,34,0,308.98,1
TEL-10043,East,Prepaid,Annual,47,42.0,Smartphone-Budget,0,0,19.5,295,10,300.94,13890.26,0,0.0,1.22,22.8,26,0,308.41,0
TEL-10044,East,Postpaid,Monthly,23,49.0,Feature,1,0,3.5,268,34,363.98,9038.89,0,0.0,1.18,20.1,28,0,387.52,0
TEL-10045,South,Postpaid,Monthly,24,39.0,Smartphone-Budget,1,0,23.9,132,4,464.67,13075.76,0,0.0,2.18,30.2,24,0,569.92,0
TEL-10046,North,Postpaid,Monthly,7,31.0,Feature,0,0,3.8,108,10,298.12,1564.15,1,2.2,2.55,21.9,2,1,236.06,1
TEL-10047,Central,Prepaid,Monthly,53,46.0,Smartphone-Budget,0,0,19.2,230,11,282.4,15151.5,0,0.0,5.01,19.9,1,0,282.16,0
TEL-10048,West,Postpaid,Annual,29,45.0,Smartphone-Budget,0,0,2.0,467,27,334.89,8962.72,2,57.7,8.07,20.4,14,1,317.61,1
TEL-10049,West,Prepaid,Monthly,35,38.0,Smartphone-Budget,0,0,23.8,130,19,289.46,10131.46,0,0.0,1.19,32.6,3,1,275.74,1
TEL-10050,East,Prepaid,Monthly,6,31.0,Smartphone-Premium,0,0,1.3,131,13,128.57,838.48,1,25.8,3.2,33.6,9,1,134.11,1
TEL-10051,Central,Postpaid,Annual,34,41.0,Smartphone-Premium,0,0,8.3,340,13,357.67,14153.1,1,16.0,2.24,5.8,5,0,413.17,0
TEL-10052,West,Postpaid,Monthly,22,50.0,Smartphone-Premium,1,1,14.6,308,19,546.86,12589.44,2,2.5,1.92,23.9,11,0,603.49,0
TEL-10053,East,Prepaid,Monthly,5,18.0,Smartphone-Premium,0,1,5.4,174,7,347.51,1605.57,1,53.7,8.39,15.9,14,1,321.55,1
TEL-10054,West,Prepaid,Monthly,33,54.0,Feature,1,0,2.6,751,36,233.23,11838.07,1,27.8,7.49,31.5,10,0,373.26,0
TEL-10055,North,Prepaid,Annual,39,51.0,Smartphone-Budget,0,0,9.3,250,13,224.92,8342.7,2,12.5,1.15,21.9,32,0,219.56,0
TEL-10056,West,Prepaid,Monthly,55,30.0,Smartphone-Premium,1,0,14.7,248,23,272.31,17171.23,0,0.0,1.29,10.3,19,0,311.65,0
TEL-10057,North,Postpaid,Two-Year,1,31.0,Feature,0,0,3.2,215,10,271.29,309.7,2,34.5,8.85,26.4,8,1,310.97,1
TEL-10058,East,Postpaid,Annual,53,55.0,Smartphone-Premium,1,0,12.8,206,17,390.92,18874.14,0,0.0,1.19,30.2,15,0,363.85,0
TEL-10059,West,Prepaid,Annual,10,38.0,Smartphone-Budget,0,0,2.7,88,13,129.98,1688.06,0,0.0,4.75,32.9,12,0,166.79,0
TEL-10060,West,Prepaid,Monthly,33,40.0,Smartphone-Premium,0,0,22.0,596,8,371.11,13392.17,0,0.0,1.52,37.3,1,0,409.75,0
TEL-10061,North,Prepaid,Annual,8,27.0,Smartphone-Premium,0,0,5.1,139,10,140.73,1836.02,1,63.0,3.66,21.4,14,1,228.17,1
TEL-10062,South,Prepaid,Monthly,10,44.0,Smartphone-Budget,0,0,5.7,110,12,130.58,1456.95,1,9.7,4.93,33.4,27,0,146.3,1
TEL-10063,Central,Prepaid,Monthly,50,56.0,Feature,0,0,1.3,513,34,185.24,8069.12,0,0.0,0.56,23.6,4,0,165.69,0
TEL-10064,North,Prepaid,Monthly,72,50.0,Feature,0,0,2.1,652,25,144.71,11329.12,0,,0.8,38.5,18,0,166.81,0
TEL-10065,South,Prepaid,Monthly,4,31.0,Smartphone-Budget,0,0,3.1,124,5,131.65,520.74,1,38.2,1.31,34.3,26,0,130.37,0
TEL-10066,East,Prepaid,Monthly,40,65.0,Feature,0,0,3.1,394,26,143.72,4108.77,1,14.8,3.93,26.3,11,0,110.34,0
TEL-10067,West,Prepaid,Monthly,7,25.0,Smartphone-Premium,0,0,39.6,152,5,505.82,3228.56,2,17.6,4.94,16.6,11,1,503.75,1
TEL-10068,North,Prepaid,Monthly,23,68.0,Feature,0,0,2.1,538,31,153.25,4270.63,1,54.3,2.03,29.2,13,0,187.08,0
TEL-10069,West,Prepaid,Monthly,2,35.0,Smartphone-Premium,1,0,5.4,172,12,145.39,344.3,0,0.0,1.99,25.8,3,0,170.94,0
TEL-10070,South,Postpaid,Two-Year,23,37.0,Smartphone-Budget,0,0,16.4,193,13,444.07,12896.35,1,14.4,3.93,43.7,7,0,552.56,0
TEL-10071,North,Prepaid,Monthly,72,57.0,Feature,0,0,1.6,516,35,218.94,15582.75,1,32.7,1.44,33.0,2,0,205.66,0
TEL-10072,East,Prepaid,Monthly,4,21.0,Smartphone-Budget,0,0,4.1,153,8,180.28,846.54,0,0.0,2.61,40.4,19,0,210.69,0
TEL-10073,South,Postpaid,Monthly,41,63.0,Smartphone-Budget,1,0,2.0,408,24,349.9,12952.6,1,34.4,2.01,27.9,10,0,341.19,0
TEL-10074,East,Prepaid,Monthly,9,26.0,Smartphone-Budget,0,0,18.2,381,9,334.03,2922.7,0,0.0,0.56,20.7,5,0,330.21,0
TEL-10075,South,Postpaid,Monthly,7,28.0,Smartphone-Premium,0,0,42.3,227,9,596.02,4008.68,1,13.4,1.64,25.2,22,0,566.58,0
TEL-10076,West,Postpaid,Monthly,7,31.0,Smartphone-Budget,1,1,3.6,112,6,451.72,3555.35,0,0.0,0.41,31.3,10,1,532.73,1
TEL-10077,North,Prepaid,Monthly,64,61.0,Feature,0,0,2.6,251,32,186.42,13092.99,1,10.9,2.9,,18,0,203.61,0
TEL-10078,North,Prepaid,Monthly,50,50.0,Smartphone-Budget,0,0,7.5,209,18,252.7,15829.63,1,36.6,5.2,34.7,9,0,319.44,0
TEL-10079,East,Prepaid,Monthly,6,20.0,Smartphone-Budget,0,0,28.5,117,5,338.86,1963.4,3,32.1,4.5,35.7,9,0,317.46,0
TEL-10080,South,Prepaid,Monthly,23,34.0,Smartphone-Budget,1,0,25.6,309,14,344.16,8094.26,1,26.8,1.33,35.4,9,0,354.41,0
TEL-10081,North,Postpaid,Annual,43,40.0,Smartphone-Premium,1,0,21.4,197,8,466.08,26060.9,1,10.0,0.38,20.9,5,0,603.99,0
TEL-10082,North,Prepaid,Monthly,15,45.0,Smartphone-Budget,0,0,16.2,316,17,332.99,5148.83,1,1.6,4.11,29.8,3,0,340.51,0
TEL-10083,West,Postpaid,Annual,67,26.0,Smartphone-Budget,1,1,11.4,388,21,487.72,33848.15,2,37.5,3.94,36.2,7,0,533.65,0
TEL-10084,South,Postpaid,Two-Year,11,38.0,Feature,0,0,3.6,166,8,257.75,2645.79,1,22.8,6.08,38.9,7,0,233.83,0
TEL-10085,North,Prepaid,Monthly,52,54.0,Feature,0,0,1.5,942,22,267.55,14980.52,0,0.0,0.79,17.3,10,0,256.84,0
TEL-10086,South,Prepaid,Monthly,7,33.0,Smartphone-Premium,0,0,4.3,122,9,182.1,1249.4,0,0.0,0.79,26.3,23,0,183.15,0
TEL-10087,West,Prepaid,Monthly,72,37.0,Smartphone-Budget,0,0,8.4,417,15,227.81,17583.56,0,0.0,4.41,28.3,16,1,231.42,1
TEL-10088,East,Postpaid,Annual,61,42.0,Feature,0,0,2.0,217,32,204.9,12910.53,0,0.0,2.85,18.6,8,0,208.16,0
TEL-10089,East,Prepaid,Monthly,72,59.0,Feature,1,0,2.5,459,28,180.55,21365.04,1,21.6,2.38,25.2,3,1,306.02,1
TEL-10090,North,Prepaid,Annual,17,24.0,Smartphone-Premium,0,1,46.3,201,6,722.91,12610.97,0,0.0,6.57,28.8,10,0,769.08,0
TEL-10091,East,Prepaid,Annual,21,30.0,Smartphone-Budget,0,0,30.3,205,7,367.44,7846.23,3,7.4,13.2,36.4,6,0,402.91,0
TEL-10092,South,Postpaid,Annual,6,34.0,Smartphone-Budget,1,0,4.0,151,10,246.03,1383.63,3,25.2,2.52,29.5,10,1,237.16,1
TEL-10093,West,Postpaid,Monthly,72,57.0,Smartphone-Budget,1,0,1.6,550,36,367.07,29522.29,0,0.0,3.4,42.9,14,0,400.89,0
TEL-10094,North,Postpaid,Annual,39,41.0,Feature,1,0,17.3,362,19,420.32,17544.07,1,40.2,1.91,33.1,31,0,440.49,0
TEL-10095,Central,Prepaid,Monthly,7,30.0,Smartphone-Premium,1,0,2.9,231,7,181.3,1202.78,0,0.0,4.46,6.0,15,1,173.22,1
TEL-10096,West,Prepaid,Monthly,38,36.0,Smartphone-Premium,0,0,27.2,403,19,435.59,25403.78,0,0.0,4.2,28.8,4,0,669.6,0
TEL-10097,Central,Prepaid,Monthly,37,43.0,Smartphone-Premium,0,0,14.5,288,14,251.29,10060.52,0,0.0,5.06,1.6,3,1,248.92,1
TEL-10098,West,Prepaid,Monthly,43,52.0,Smartphone-Budget,0,1,15.3,431,21,410.31,20560.49,1,13.2,2.09,32.9,20,0,468.82,0
TEL-10099,South,Prepaid,Monthly,8,28.0,Smartphone-Premium,0,0,25.1,238,5,311.83,2941.3,0,0.0,1.46,,20,1,375.36,1
TEL-10100,North,Prepaid,Monthly,8,43.0,Smartphone-Budget,0,1,14.3,258,17,398.61,3297.09,1,45.8,1.39,29.9,23,0,398.23,0
TEL-10101,North,Prepaid,Monthly,41,63.0,Feature,1,0,1.1,757,40,191.85,8592.83,2,21.6,1.12,21.7,32,0,206.77,0
TEL-10102,Central,Prepaid,Monthly,18,45.0,Smartphone-Budget,0,0,21.8,260,17,283.93,5007.77,3,39.2,3.9,13.7,8,1,290.59,0
TEL-10103,East,Postpaid,Annual,16,29.0,Smartphone-Premium,0,0,3.4,155,10,246.5,4443.17,1,3.9,5.37,23.0,7,0,280.07,0
TEL-10104,South,Postpaid,Two-Year,6,23.0,Smartphone-Premium,1,0,3.9,166,11,268.98,2137.41,0,0.0,0.98,28.2,5,0,340.04,0
TEL-10105,North,Postpaid,Two-Year,10,24.0,Smartphone-Premium,1,0,27.0,148,7,486.47,5431.99,0,0.0,1.48,38.4,17,0,525.95,0
TEL-10106,East,Postpaid,Two-Year,29,26.0,Smartphone-Budget,1,0,40.5,125,6,524.72,15904.12,1,6.4,3.06,39.9,8,0,556.9,0
TEL-10107,South,Postpaid,Monthly,8,28.0,Feature,1,0,4.5,129,14,336.9,2440.81,0,0.0,3.2,36.6,11,0,322.89,0
TEL-10108,North,Prepaid,Monthly,11,27.0,Smartphone-Budget,1,0,33.2,125,3,399.74,4771.05,1,14.1,0.98,20.5,8,0,429.33,0
TEL-10109,North,Postpaid,Monthly,18,50.0,Smartphone-Premium,0,0,5.9,113,6,230.0,5867.16,0,0.0,5.1,35.0,5,0,316.94,0
TEL-10110,East,Postpaid,Annual,5,34.0,Smartphone-Premium,1,0,2.7,108,4,246.08,1368.45,2,60.4,5.79,33.5,22,0,260.79,0
TEL-10111,Central,Prepaid,Monthly,3,37.0,Smartphone-Budget,0,0,2.1,5,11,123.85,242.49,1,40.2,2.45,16.1,41,1,82.53,1
TEL-10112,South,Prepaid,Monthly,45,60.0,Feature,0,0,2.7,380,26,182.85,18355.78,1,29.1,4.42,34.5,6,0,402.29,0
TEL-10113,South,Postpaid,Monthly,14,28.0,Smartphone-Budget,1,0,4.6,115,15,298.24,3937.22,1,7.8,2.84,36.2,16,0,277.49,0
TEL-10114,North,Postpaid,Two-Year,9,21.0,Smartphone-Premium,0,0,32.7,166,6,537.2,5010.85,0,0.0,1.42,44.7,6,0,561.71,0
TEL-10115,East,Prepaid,Monthly,27,41.0,Smartphone-Budget,0,0,15.1,362,17,304.14,7039.02,1,13.8,1.27,,20,1,289.13,0
TEL-10116,Central,Postpaid,Monthly,53,42.0,Smartphone-Budget,1,0,6.7,455,10,309.52,18434.33,0,0.0,4.98,16.2,14,0,358.41,0
TEL-10117,East,Prepaid,Monthly,15,45.0,Smartphone-Budget,0,0,3.3,414,42,237.17,3440.1,2,27.4,6.02,,15,1,222.32,1
TEL-10118,North,Prepaid,Monthly,35,44.0,Feature,0,0,2.4,677,31,200.7,7294.38,0,0.0,8.57,23.5,34,1,214.35,1
TEL-10119,Central,Postpaid,Two-Year,33,43.0,Smartphone-Premium,0,1,8.1,209,15,434.08,17668.38,0,0.0,2.62,18.5,7,1,516.48,0
TEL-10120,South,Prepaid,Monthly,10,20.0,Smartphone-Premium,0,0,3.5,77,11,138.8,1531.83,0,0.0,0.32,20.4,27,1,158.36,1
TEL-10121,East,Prepaid,Monthly,7,18.0,Smartphone-Budget,0,0,4.2,166,8,197.31,2029.31,4,81.0,8.18,45.0,13,0,276.0,1
TEL-10122,South,Postpaid,Monthly,17,31.0,Smartphone-Budget,0,0,4.6,205,10,291.1,5403.17,1,31.5,0.64,56.0,48,0,315.37,0
TEL-10123,North,Postpaid,Two-Year,14,50.0,Smartphone-Premium,0,0,16.1,392,14,399.09,6171.16,0,0.0,6.58,25.4,9,0,440.71,0
TEL-10124,South,Postpaid,Annual,18,47.0,Smartphone-Budget,0,0,24.9,390,5,437.74,8416.99,1,31.0,0.32,34.4,7,0,474.68,0
TEL-10125,South,Prepaid,Monthly,7,27.0,Feature,0,0,6.1,166,7,180.77,1298.56,2,13.9,3.74,35.3,5,0,197.64,0
TEL-10126,East,Prepaid,Monthly,15,18.0,Smartphone-Premium,0,0,29.7,215,6,420.36,6136.98,0,0.0,2.34,17.8,8,1,425.46,1
TEL-10127,North,Postpaid,Annual,9,25.0,Smartphone-Premium,1,0,35.2,164,4,504.51,5991.15,0,0.0,4.11,37.6,8,0,680.46,0
TEL-10128,West,Postpaid,Annual,16,28.0,Smartphone-Budget,0,0,5.3,103,8,262.72,5712.59,3,39.9,6.17,38.9,14,0,322.79,0
TEL-10129,South,Prepaid,Monthly,11,28.0,Smartphone-Premium,0,0,19.3,235,4,314.6,3122.28,0,0.0,1.94,36.8,6,0,312.25,0
TEL-10130,South,Prepaid,Monthly,55,50.0,Smartphone-Budget,0,0,2.5,732,38,180.46,11226.26,0,0.0,1.1,28.5,12,0,198.11,0
TEL-10131,South,Prepaid,Monthly,14,24.0,Smartphone-Premium,0,0,43.6,190,3,498.56,9810.11,1,14.8,1.86,24.8,15,0,736.86,0
TEL-10132,West,Prepaid,Monthly,48,31.0,Smartphone-Premium,0,0,9.4,333,14,241.19,10477.31,1,9.8,2.66,14.1,11,0,235.36,0
TEL-10133,Central,Prepaid,Monthly,30,23.0,Smartphone-Budget,0,0,22.9,347,14,328.21,9502.39,1,7.3,3.84,8.5,12,1,326.5,1
TEL-10134,East,Prepaid,Monthly,14,36.0,Smartphone-Premium,0,0,22.9,216,4,304.64,6786.47,2,14.4,5.43,11.7,10,1,469.17,1
TEL-10135,Central,Prepaid,Monthly,3,41.0,Smartphone-Budget,0,1,13.7,292,10,425.2,1758.15,0,0.0,3.61,10.7,10,0,601.71,0
TEL-10136,Central,Postpaid,Annual,53,52.0,Feature,1,0,1.6,432,35,297.01,15968.03,1,28.8,8.05,19.8,4,0,305.98,0
TEL-10137,North,Postpaid,Monthly,25,18.0,Smartphone-Premium,1,0,34.4,147,5,525.25,15696.68,3,23.0,2.08,24.5,13,0,608.5,0
TEL-10138,East,Postpaid,Two-Year,72,45.0,Smartphone-Budget,1,0,13.8,267,16,338.97,23698.3,0,0.0,9.49,41.3,4,1,329.39,1
TEL-10139,South,Prepaid,Monthly,12,30.0,Smartphone-Premium,0,0,34.5,174,3,389.49,6116.13,1,70.0,2.01,29.1,3,1,498.69,0
TEL-10140,West,Prepaid,Monthly,44,45.0,Feature,0,0,1.6,693,29,302.74,12909.42,0,0.0,4.9,18.1,11,1,302.04,1
TEL-10141,Central,Prepaid,Monthly,64,48.0,Smartphone-Premium,1,0,14.5,300,23,299.61,24261.38,1,27.5,0.51,19.7,3,1,400.24,1
TEL-10142,East,Prepaid,Monthly,11,18.0,Smartphone-Budget,0,0,2.5,116,14,132.07,1561.1,0,0.0,3.11,34.5,19,0,142.76,0
TEL-10143,West,Prepaid,Monthly,70,43.0,Smartphone-Budget,0,0,14.9,492,8,265.31,24486.29,0,0.0,1.68,31.2,14,0,351.54,0
TEL-10144,North,Prepaid,Monthly,29,50.0,Smartphone-Budget,0,0,18.3,420,21,254.03,7870.51,1,27.6,1.71,25.1,7,0,278.92,0
TEL-10145,Central,Postpaid,Annual,72,53.0,Smartphone-Budget,0,0,1.7,288,27,261.8,16111.51,0,0.0,3.96,17.9,3,0,244.66,0
TEL-10146,South,Prepaid,Monthly,12,18.0,Smartphone-Premium,0,0,26.0,50,3,307.62,4171.25,0,0.0,0.36,35.3,20,0,344.85,0
TEL-10147,South,Postpaid,Annual,37,57.0,Smartphone-Budget,0,0,2.3,564,29,305.62,10564.74,3,86.7,6.35,33.1,28,0,304.69,0
TEL-10148,Central,Prepaid,Monthly,21,35.0,Smartphone-Premium,0,0,34.9,198,11,408.62,7518.41,1,4.2,2.32,7.0,10,0,385.45,0
TEL-10149,North,Prepaid,Monthly,46,54.0,Feature,0,1,2.4,675,28,327.09,22528.37,3,22.9,2.05,22.7,26,1,508.14,1
TEL-10150,East,Postpaid,Monthly,15,37.0,Smartphone-Budget,0,0,2.5,126,12,233.09,3673.7,0,0.0,2.05,24.4,6,0,242.1,0
TEL-10151,North,Postpaid,Monthly,45,57.0,Feature,1,0,1.8,626,36,279.33,12425.49,0,0.0,8.22,21.6,20,1,270.04,1
TEL-10152,South,Prepaid,Monthly,72,55.0,Smartphone-Budget,0,1,2.2,582,34,355.66,29676.52,0,0.0,6.78,25.6,7,0,406.27,0
TEL-10153,East,Postpaid,Annual,8,30.0,Smartphone-Premium,0,0,40.7,202,4,488.41,3658.69,0,0.0,3.96,32.4,9,0,479.93,0
TEL-10154,North,Prepaid,Monthly,7,27.0,Smartphone-Premium,0,0,22.8,239,2,401.77,3073.57,0,0.0,0.78,41.7,5,0,436.03,0
TEL-10155,North,Prepaid,Monthly,9,35.0,Smartphone-Premium,0,0,6.2,109,9,204.16,2040.67,2,40.2,3.73,25.2,17,1,235.11,1
TEL-10156,North,Prepaid,Monthly,64,38.0,Smartphone-Budget,0,0,23.9,162,13,332.04,25252.08,0,0.0,7.72,30.6,4,0,386.53,0
TEL-10157,West,Prepaid,Monthly,15,40.0,Smartphone-Budget,0,0,4.6,146,7,92.14,1196.48,0,0.0,3.07,32.7,22,1,80.4,1
TEL-10158,North,Prepaid,Monthly,8,34.0,Smartphone-Budget,0,0,3.7,190,10,132.46,1242.1,1,6.5,1.68,26.8,9,0,159.48,0
TEL-10159,Central,Prepaid,Monthly,8,39.0,Smartphone-Premium,1,0,3.3,173,6,228.78,1800.05,1,15.7,0.14,17.1,5,0,220.66,0
TEL-10160,West,Postpaid,Two-Year,39,62.0,Smartphone-Budget,1,0,1.4,450,37,263.12,9652.49,1,56.2,4.76,30.7,9,0,244.67,0
TEL-10161,South,Postpaid,Monthly,12,37.0,Smartphone-Premium,0,0,4.7,160,10,241.85,3028.94,2,11.8,1.68,21.5,17,0,258.09,0
TEL-10162,East,Prepaid,Monthly,15,51.0,Smartphone-Budget,0,1,2.7,122,10,259.08,3159.97,0,0.0,3.73,15.8,9,0,226.6,0
TEL-10163,South,Prepaid,Monthly,18,41.0,Smartphone-Budget,0,0,5.1,187,5,163.27,3841.86,1,32.7,4.14,4.8,5,0,219.22,0
TEL-10164,North,Postpaid,Annual,72,57.0,Feature,1,0,2.3,505,40,287.42,19671.31,1,30.2,4.95,11.0,11,1,282.22,1
TEL-10165,East,Prepaid,Monthly,36,45.0,Feature,0,0,19.5,336,8,305.71,11444.9,2,16.2,3.84,35.3,2,0,333.7,0
TEL-10166,West,Postpaid,Monthly,36,32.0,Smartphone-Budget,0,0,6.6,228,20,331.8,12283.98,0,0.0,4.07,31.9,4,0,345.07,0
TEL-10167,South,Prepaid,Monthly,15,34.0,Smartphone-Budget,0,0,1.9,195,5,186.56,2887.8,0,0.0,2.11,30.7,14,0,199.86,1
TEL-10168,Central,Prepaid,Monthly,72,47.0,Smartphone-Budget,0,0,14.7,314,19,303.65,22831.36,1,16.5,5.35,18.4,7,0,298.08,0
TEL-10169,West,Prepaid,Monthly,7,31.0,Smartphone-Budget,1,0,3.7,124,8,188.85,1720.0,1,10.3,2.77,32.8,20,0,245.53,0
TEL-10170,North,Postpaid,Monthly,57,38.0,Smartphone-Budget,1,0,17.7,264,16,450.22,28933.38,1,9.6,5.88,36.5,9,0,505.7,0
TEL-10171,West,Prepaid,Monthly,64,48.0,Smartphone-Budget,0,0,15.9,405,24,252.41,17145.49,1,15.0,0.7,29.6,5,0,280.29,0
